"Estuary";"Goreliy";"Klyushuha";"Lomnishniy";"Medvezhya";"razrez2";"Seldyanaya";"Suhaya";"YuG";"ZRS"
"Estuary";1;0,571980785759394;0,228641906345358;-0,113566971045509;NA;0,82272898745771;NA;0,230688701535032;0,732693043176794;0,48419284828518
"Goreliy";0,571980785759394;1;0,560497395301624;0,15676519857503;NA;0,917310020061531;NA;0,367824189050458;0,412118699634819;0,901954858645519
"Klyushuha";0,228641906345358;0,560497395301624;1;0,769882832477007;NA;0,7150175517112;NA;0,436364845167721;0,681785625773986;0,700065093842873
"Lomnishniy";-0,113566971045509;0,15676519857503;0,769882832477007;1;NA;NA;NA;0,373591574755752;0,617791597203658;0,609314598159759
"Medvezhya";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"razrez2";0,82272898745771;0,917310020061531;0,7150175517112;NA;NA;1;NA;0,863322375544522;1;0,866107795370929
"Seldyanaya";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Suhaya";0,230688701535032;0,367824189050458;0,436364845167721;0,373591574755752;NA;0,863322375544522;NA;1;0,0990947448001371;0,253111884550419
"YuG";0,732693043176794;0,412118699634819;0,681785625773986;0,617791597203658;NA;1;NA;0,0990947448001371;1;0,538203223121876
"ZRS";0,48419284828518;0,901954858645519;0,700065093842873;0,609314598159759;NA;0,866107795370929;NA;0,253111884550419;0,538203223121876;1
